S_No,S_Code
1484,QLD
1485,FK
1486,KN
1487,PGI
1488,TA
1489,TIR
1490,KTU
1491,PTB
1492,CBF
1493,PLMD
1494,UKL
1495,URL
1496,KMD
1497,PGR
1498,MPLM
1499,KRR
1500,MMH
1501,KLT
1502,TP
1503,SRGM
1504,ALU
1505,GUV
1506,MPA
1507,RMM
1508,MMM
1509,RMD
1510,PMK
1511,MNM
1512,NHK
1513,PUT
1514,EKM
1515,TRT
1516,MOZ
1517,MTC
1518,BAND
1519,BCH
1520,SEH
1521,BIH
1522,KATL
1523,MAP
1524,VNUP
1525,PGRL
1526,AVD
1527,AEL
1528,NNL
1529,DBLA
1530,NMK
1531,HDA
1532,ADTP
1533,KND
1534,CNI
1535,BBM
1536,ANR
1537,TGA
1538,BYL
1539,HN
1540,SKS
1541,NRKR
1542,BAO
1543,CHJ
1544,MUD
1545,MDNR
1546,MUT
1547,KAT
1548,DBD
1549,RAA
1550,GOY
1551,BZM
1552,KTRR
1553,PTRE
1554,GTM
1555,HAR
1556,BSZ
1557,ICL
1558,SWC
1559,MJG
1560,JTW
1561,UHR
1562,JKE
1563,NIP
1564,KAWT
1565,SMPR
1566,BDHL
1567,RNW
1568,GPD
1569,COA
1570,RJT
1571,SUNR
1572,XX-BWY
1573,KWV
1574,GUR
1575,KSN
1576,KLU
1577,SSPN
1578,HSRA
1579,DPJ
1580,RDDE
1581,ANDI
1582,KOA
1583,HRD
1584,BIR
1585,BUX
1586,SNI
1587,SANK
1588,GMH
1589,WENA
1590,HRT
1591,KWO
1592,GZH
1593,BSQP
1594,YFP
1595,LSI
1596,ABFC
1597,BLK
1598,RQJ
1599,MOP
1600,JPG
1601,HDB
1602,SGUT
1603,SN
1604,RTG
1605,TDH
1606,GBE
1607,MHN
1608,KGN
1609,TUNG
1610,SAD
1611,GHUM
1612,DJ
1613,MNV
1614,ASKN
1615,CAG
1616,BAZ
1617,CKB
1618,ISA
1619,BNLW
1620,CSTM
1621,NRL
1622,KAD
1623,TGN
1624,KK
1625,CHH
1626,SWPR
1627,PRF
1628,MOF
1629,NBP
1630,SWS
1631,GRX
1632,MBDD
1633,MLD
1634,BGH
1635,MIL
1636,KNT
1637,BEK
1638,CNK
1639,BLW
1640,RSI
1641,ATMO
1642,JWP
1643,RWL
1644,DWO
1645,DDN
1646,PLS
1647,RHN
1648,ALJ
1649,KPV
1650,GWS
1651,PRM
1652,RMR
1653,MLZ
1655,KLRS
1656,DS
1657,VVB
1658,PBR
1659,WSJ
1661,LPJ
1662,JAM
1663,HAPA
1664,WKR
1665,SEU
1666,LS
1667,RGO
1668,LSR
1669,AWB
1670,J
1671,PTU
1672,SELU
1673,MVO
1674,PBN
1675,PAU
1676,NED
1677,MUE
1678,UMRI
1679,DAB
1680,BSX
1681,NZB
1682,KMC
1683,AKE
1684,MZL
1685,BMO
1686,ANK
1687,YL
1688,SNVR
1689,KNGN
1690,PB
1691,CIT
1692,NPW
1693,PDGN
1694,TKI
1695,RRI
1696,VBR
1697,VL
1698,AKR
1699,SRL
1700,RNJD
1701,VPR
1702,BWD
1703,SGND
1704,KSTH
1705,YLG
1706,KJG
1707,BYD
