,T_Num,Train,From,To,Days,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
38,12877,NDLS GARIB RATH,Ranchi,New Delhi,M Tu F,1,1,0,0,1,0,0
39,12203,GARIB RATH EXP,Saharsa Jn,Amritsar Jn,M Th Su,1,0,0,1,0,0,1
40,12735,GARIBRATH EXP,Secunderabad Jn,Yasvantpur Jn,W F Su,0,0,1,0,1,0,1
41,12740,GARIBRATH EXP,Secunderabad Jn,Visakhapatnam,Daily,1,1,1,1,1,1,1
42,12881,PURI GARIB RATH,Shalimar,Puri,Tu Th,0,1,0,1,0,0,0
43,22407,ANVT GARIB RATH,Varanasi Jn,Anand Vihar Terminal,Th Su,0,0,0,1,0,0,1
44,12739,GARIB RATH,Visakhapatnam,Secunderabad Jn,Daily,1,1,1,1,1,1,1
45,12257,KCVL GARIBRATH,Yasvantpur Jn,Kochuveli,Tu Th Su,0,1,0,1,0,0,1
46,12736,SC GARIB RATH,Yasvantpur Jn,Secunderabad Jn,M Th Sa,1,0,0,1,0,1,0
47,22884,GARIBRATH EXP,Yasvantpur Jn,Puri,Sa,0,0,0,0,0,1,0
0,12917,GUJRAT S KRANTI,Ahmedabad Jn,Hazrat Nizamuddin,M,1,0,0,0,0,0,0
1,12330,SAMPARK K EXP,Anand Vihar Terminal,Sealdah,W,0,0,1,0,0,0,0
2,12820,BBS S KRNTI EXP,Anand Vihar Terminal,Bhubaneswar,Tu F,0,1,0,0,1,0,0
3,12826,ANVT RNC SF EXP,Anand Vihar Terminal,Ranchi,W Sa,0,0,1,0,0,1,0
4,12907,BDTS SMPRK K EX,Bandra Terminus,Hazrat Nizamuddin,W Su,0,0,1,0,0,0,1
5,12819,SAMPARK KRANTI,Bhubaneswar,Anand Vihar Terminal,W Su,0,0,1,0,0,0,1
6,12218,KERLA S KRANTI,Chandigarh,Kochuveli,W F,0,0,1,0,1,0,0
7,12450,GOA S KRANTI,Chandigarh,Madgaon,M Sa,1,0,0,0,0,1,0
8,12565,BIHAR S KRANTI,Darbhanga Jn,New Delhi,Daily,1,1,1,1,1,1,1
9,15035,UTR SAMPRK KRTI,Delhi,Kathgodam,Daily,1,1,1,1,1,1,1
10,12463,RAJ S KRNTI EXP,Delhi S Rohilla,Jodhpur Jn,W,0,0,1,0,0,0,0
11,12823,CG SMPRK KRANTI,Durg,Hazrat Nizamuddin,M Th Sa,1,0,0,1,0,1,0
12,12122,M P S KRNTI EXP,Hazrat Nizamuddin,Jabalpur,M Th Sa,1,0,0,1,0,1,0
13,12448,UP SAMPRK KRANTI,Hazrat Nizamuddin,Manikpur Jn,Daily,1,1,1,1,1,1,1
14,12650,YPR SAMPARK KRT,Hazrat Nizamuddin,Yasvantpur Jn,M Tu Th Sa Su,1,1,0,1,0,1,1
15,12652,SMPARK KRNT EXP,Hazrat Nizamuddin,Madurai Jn,Tu Th,0,1,0,1,0,0,0
16,12708,NZM TPTY SF EXP,Hazrat Nizamuddin,Tirupati,W F Su,0,0,1,0,1,0,1
17,12824,CG S KRANTI,Hazrat Nizamuddin,Durg,Tu F Su,0,1,0,0,1,0,1
18,12908,MHRST SMPRK K EX,Hazrat Nizamuddin,Bandra Terminus,M Th,1,0,0,1,0,0,0
19,12918,GUJRAT S KRANTI,Hazrat Nizamuddin,Ahmedabad Jn,Sa,0,0,0,0,0,1,0
20,12121,MP SAMPRK KRNTI,Jabalpur,Hazrat Nizamuddin,W F Su,0,0,1,0,1,0,1
21,12464,RJSTHN S KRANTI,Jodhpur Jn,Delhi S Rohilla,Th,0,0,0,1,0,0,0
22,15036,UTR SMPRK K EXP,Kathgodam,Delhi,Daily,1,1,1,1,1,1,1
23,12217,SAMPARK KRANTHI,Kochuveli,Chandigarh,M Sa,1,0,0,0,0,1,0
24,12449,GOA SMPRK K SPL,Madgaon,Chandigarh,Tu W,0,1,1,0,0,0,0
25,12651,NZM S KRNTI EXP,Madurai Jn,Hazrat Nizamuddin,Tu Su,0,1,0,0,0,0,1
26,12447,UP SMPRK KRANTI,Manikpur Jn,Hazrat Nizamuddin,Daily,1,1,1,1,1,1,1
27,12445,UTTAR S KRANTI,New Delhi,Shmata Vd Katra,Daily,1,1,1,1,1,1,1
28,12566,BIHAR S KRANTI,New Delhi,Darbhanga Jn,Daily,1,1,1,1,1,1,1
29,12825,RNC ANVT SF EXP,Ranchi,Anand Vihar Terminal,M Th,1,0,0,1,0,0,0
30,12329,SAMPARK K EXP,Sealdah,Anand Vihar Terminal,Tu,0,1,0,0,0,0,0
31,12446,UTTAR S KRANTI,Shmata Vd Katra,New Delhi,Daily,1,1,1,1,1,1,1
